name,typevalue,usenull,percentnull,percentunique
id,1,1,0.0,100.0
order_number,4,1,0.0,86.33149568552253
company_id,1,1,0.0,0.0004993608181527644
area_id,1,1,0.0,0.003495525727069351
first_loc_id,1,1,1.5804769894534993,0.03145973154362416
second_loc_id,1,1,1.5852209172259508,0.15679929689996805
asset_id,1,1,1.3407837967401726,3.072317433684883
asset_part_id,1,1,94.43961728986898,1.2034595717481622
asset_part_child_id,1,1,99.08567034196228,0.2826382230744647
asset_group_id,1,1,1.3407837967401726,0.37901486097794823
cost_center_id,1,1,1.2851050655161393,0.064667225950783
maint_req_id,1,1,83.13234060402685,15.61051853627357
maint_service_type_id,1,1,0.0,0.003994886545222115
maint_service_nature_id,1,1,78.05459012464046,0.0067413710450623205
employee_team_id,1,1,60.68756991051454,0.023719638862256313
employee_id,1,1,54.07178811121764,0.1263382869926494
description,4,1,0.0,61.57043983700863
executed_service,4,1,100.0,0.0
maint_failure_id,1,1,99.8604286513263,0.020723473953339726
maint_cause_id,1,1,99.90337368168744,0.019724752317034196
maint_action_id,1,1,99.9206016299137,0.013732422499201024
maint_order_status_id,1,1,0.0,0.003495525727069351
priority,1,1,0.0,0.0012484020453819111
cancel_reason,4,1,96.33319351230425,0.5777604666027485
cancel_user_id,1,1,92.90608021732183,0.031210051134547778
created_at,5,1,0.0,41.77652604666027
updated_at,6,0,0.0,25.243688079258547
deleted_at,6,0,99.99825223713647,0.0002496804090763822
is_sistematic,2,1,0.0,0.0004993608181527644
maint_started_at,5,1,13.693722035794185,60.34925295621605
maint_finished_at,5,1,13.643536273569831,59.707823985298816
closed_at,5,1,17.424946069031638,56.16036473314158
opened_at,5,1,0.0,90.44972435282837
downtime_started_at,5,1,99.35732262703739,0.6137144455097475
downtime_finished_at,5,1,99.55407078938958,0.43793943751997444
cancelled_at,5,1,91.43870845317993,4.102748481943113
origin_doc,4,1,98.476699824225,0.508848673697667
scheduled_to,5,1,0.0,5.040048737615852
est_finish_at,5,1,6.348124400767017,5.409076382230745
prog_year_week_number,6,0,96.33718839884948,0.03320749440715884
is_executed,6,0,0.0,0.0004993608181527644
executed_date,5,1,100.0,0.0
maint_planning_id,6,0,100.0,0.0
logged_user_id,1,1,7.572307446468521,0.06067233940556089
maint_order_cancel_reason_id,1,1,93.06287951422179,0.00449424736337488
parent_maint_order_id,1,1,100.0,0.0
maint_plan_id,1,1,74.80225311601151,1.097595078299776
is_failure_analysis,2,1,0.0,0.0004993608181527644
is_perform_failure_analysis,2,1,0.0,0.0004993608181527644
maint_possible_cause_id,1,1,99.32910874081176,0.670891259188239
result_failure_analysis,4,1,99.93533277404921,0.064667225950783
total_cost,6,0,0.0,8.873891418983701
maint_failure_description,4,1,64.90941594758709,27.976939517417705
warranty_failure_analysis,5,1,99.98901406200063,0.009238175135826143
plan_type_id,6,0,91.89287711728987,0.0029961649089165865
est_finish_at_origin,6,0,59.66537831575584,3.083053691275168
scheduled_to_origin,6,0,23.91838446788111,3.97116690635986
operator_team_id,1,1,98.97805808565036,0.011984659635666346
operator_id,1,1,99.99825223713647,0.0012484020453819111
component_id,1,1,98.77032398529882,0.6663970118248642
third_loc_id,1,1,6.900916826462128,0.687869527005433
cause_feature_id,1,1,99.10739253755193,0.0007490412272291466
cause_structure_action_id,1,1,99.9947567114094,0.00224712368168744
pillar_id,1,1,97.01656879194631,0.0009987216363055288
cause_countermeasure_id,1,1,99.58278403643337,0.005243288590604027
cause_type_id,1,1,99.10814157877917,0.0049936081815276446
functional_failure,4,1,99.3148769574944,0.6601550015979546
damage_type_id,1,1,79.935932007031,0.0004993608181527644
breakdown_typology_id,1,1,99.9290907638223,0.0017477628635346756
cilr,6,0,58.80048537871524,0.0004993608181527644
pm,6,0,58.80048537871524,0.0004993608181527644
has_tag,6,0,58.80048537871524,0.0004993608181527644
tag_number,1,1,99.97977588686481,0.01872603068072867
severity_of_failure_id,1,1,99.99975031959092,0.0002496804090763822
probability_of_failure_id,1,1,99.99975031959092,0.0002496804090763822
detection_of_failure_id,1,1,99.99975031959092,0.0002496804090763822
rpn,3,1,99.99975031959092,0.0002496804090763822
what,4,1,99.9290907638223,0.06841243208692874
when,4,1,99.9290907638223,0.0449424736337488
who,4,1,99.9290907638223,0.026466123362096514
why,4,1,99.3138782358581,0.6494187440076702
how,4,1,99.9290907638223,0.07065955576861617
maint_order_on_hold_reason_id,1,1,99.9767797219559,0.0032458453179929694
performed_worktime,3,1,0.0,8.342072147651008
estimated_worktime,3,1,0.0,0.640180568871844
is_security_item,2,1,0.0,0.0004993608181527644
attached_at,6,0,99.98002556727388,0.008738814317673378
performed_asset_downtime,3,1,0.0,1.4653743208692873
is_scheduled,2,1,0.0,0.0004993608181527644
has_resupply_general_req,2,1,0.0,0.0004993608181527644
is_vehicle,6,0,0.0,0.0002496804090763822
maint_order_activities_type,1,1,0.0,0.0004993608181527644
tag_id,1,1,99.9915108660914,0.00798977309044423
execute_simple_checklist_activity_id,1,1,100.0,0.0
executed_service_historic,4,0,33.98899408756792,56.955846516458934
executed_service_failure_analysis,4,1,48.70615612016619,42.50584252157239
fourth_loc_id,1,1,100.0,0.0
identity_hash,6,0,75.87562919463086,24.021752157238733
record_origin,6,0,85.28608381271971,0.0004993608181527644
work_center_id,1,1,100.0,0.0
is_approved,6,0,0.0,0.0004993608181527644
user_text,4,1,7.572307446468521,0.05792585490572067
id_mobile,6,0,99.99850191754554,0.0014980824544582932
mobile_uuid,6,0,99.99850191754554,0.0007490412272291466
need_asset_stop,2,1,0.0,0.0004993608181527644
additional_cost_center_ids,6,0,74.8117409715564,0.0676633908596996
custom_number,4,1,100.0,0.0
fca_group_id,6,0,100.0,0.0
needs_rescheduling,2,1,98.98255233301374,0.0004993608181527644
maint_req_priority,1,1,92.42469638862256,0.009987216363055289
priority_calculated,1,1,0.0,0.0154801853627357
failure_analysis_at,5,1,86.3147670981144,1.431917146053052
rework_cost,6,0,0.0,0.0002496804090763822
